"","state","name","census_id","id","year","category","total_liabilities","bonds_outstanding","current_liabilities","leases","loans_outstanding","notes_outstanding","net_pension_liability","net_pension_assets","net_opeb_liability","net_opeb_assets","compensated_absences","charges_for_services","operating_grants","capital_grants","general_revenue","change_in_net_position","expenses","total_operating_revenues","non_operating_revenues","capital_contributions","revenues","has_unconfirmed"
"5755","TX","Olfen Independent School District",NA,163833,2021,"School District",1743013,676724,103941,5258,71096,0,406770,0,431075,0,0,6863,395384,136860,2291144,376422,2453829,0,0,0,2830251,FALSE
"5756","TX","Mumford Independent School District",NA,163811,2021,"School District",3716647,0,597290,0,0,0,1396457,0,1722900,0,0,155785,1193213,0,8541297,3705869,6184426,0,0,0,9890295,FALSE
"5757","TX","Olney Independent School District",NA,39262,2021,"School District",11217575,4765354,887678,181019,0,0,2479032,0,2904492,0,0,557957,3068255,0,9757457,934644,12449025,0,0,0,13383669,FALSE
"5758","TX","Morgan Mill Independent School District",NA,163803,2021,"School District",710663,0,102649,0,0,0,288972,0,319042,0,0,22915,291925,0,1365951,29612,1651179,0,0,0,1680791,FALSE
"5759","TX","Mount Pleasant Independent School District",NA,39206,2021,"School District",139001850,78770142,6368069,0,0,20438911,15828726,0,17596002,0,0,2567374,16482193,0,56709961,6909109,68850419,0,0,0,75759528,FALSE
"5760","TX","Odem-Edroy Independent School District",NA,39170,2021,"School District",36769697,26413746,2456166,81273,0,0,3012012,0,3206380,0,0,82631,1556963,0,13653241,1553991,13738844,0,0,0,15292835,FALSE
"5761","TX","Morton Independent School District",NA,163804,2021,"School District",4149504,0,288638,0,0,0,1674227,0,2147073,0,39566,33371,851464,0,5124498,-563087,6572420,0,0,0,6009333,FALSE
"5762","TX","Nazareth Independent School District",NA,163814,2021,"School District",1485188,270000,147276,0,0,0,468038,0,599874,0,0,186574,518567,0,3266227,712120,3259248,0,0,0,3971368,FALSE
"5763","TX","Palacios Independent School District",NA,39090,2021,"School District",24112056,13085673,2040863,0,0,0,4194731,0,4790789,0,0,229462,3574664,0,19362636,3905371,19261391,0,0,0,23166762,FALSE
"5764","TX","Neches Independent School District",NA,163815,2021,"School District",5902758,3262143,428026,0,0,69275,948240,0,1179044,0,16030,99810,685577,0,4712725,5000,5493112,0,0,0,5498112,FALSE
"5765","TX","Palestine Independent School District",NA,38786,2021,"School District",86695256,53980883,3166657,0,0,6420000,10544670,0,12384341,0,198705,784986,12643168,0,39627982,3622324,49433812,0,0,0,53056136,FALSE
"5766","TX","Nederland Independent School District",NA,39039,2021,"School District",132888307,89790714,11205351,359341,0,0,15376043,0,16099868,0,56989,474753,8946235,0,57205738,6773717,59853009,0,0,0,66626726,FALSE
"5767","TX","Needville Independent School District",NA,38939,2021,"School District",71851480,47135147,2904849,0,0,3599000,8915238,0,9297246,0,0,1217802,7566012,0,35689551,3941037,40532328,0,0,0,44473365,FALSE
"5768","TX","New Boston Independent School District",NA,38830,2021,"School District",26401672,13098537,1755716,0,0,2286751,4229545,0,5010903,0,20220,559999,6096286,0,15211530,2337865,19529950,0,0,0,21867815,FALSE
"5769","TX","New Braunfels Independent School District",NA,38882,2021,"School District",330875945,268313789,16528759,0,918310,0,22310546,0,22438606,0,365935,1781745,14945592,0,100390967,14819260,102299044,0,0,0,117118304,FALSE
"5770","TX","Pecos-Barstow-Toyah Independent School District",NA,39152,2021,"School District",35603464,2019000,9092715,0,0,0,11615666,0,12876083,0,0,822922,9108096,0,137093385,-6921508,153945911,0,0,0,147024403,FALSE
"5771","TX","New Caney Independent School District",NA,39108,2021,"School District",719056639,586907593,31151385,0,0,0,52801386,0,48196275,0,0,2125300,35960448,0,186581452,-6615763,231282963,0,0,0,224667200,FALSE
"5772","TX","Peaster Independent School District",NA,49374,2021,"School District",33032558,21421920,2477865,0,261752,298101,3862391,0,4457943,0,0,1789482,2830999,0,14093828,692950,18021359,0,0,0,18714309,FALSE
"5773","TX","Patton Springs Independent School District",NA,163846,2021,"School District",907688,0,95621,0,0,0,343581,0,468486,0,0,51889,390375,0,2175214,106736,2510742,0,0,0,2617478,FALSE
"5774","TX","Montague Independent School District",NA,163799,2021,"School District",1863081,0,112069,291683,801900,0,286571,0,370858,0,0,24655,390234,0,2273288,802909,1885268,0,0,0,2688177,FALSE
"5775","TX","Panhandle Independent School District",NA,163841,2021,"School District",4585503,0,1038047,0,0,0,1586037,0,1961419,0,0,405849,1204566,0,9392862,999111,10004166,0,0,0,11003277,FALSE
"5776","TX","New Diana Independent School District",NA,163816,2021,"School District",16709096,7761247,1138032,464019,0,1141253,2742342,0,3462204,0,0,366564,2323866,0,11477337,-431858,14599625,0,0,0,14167767,FALSE
"5777","TX","Panther Creek Consolidated Independent School District",NA,163843,2021,"School District",1954857,590000,125315,28230,0,0,577828,0,633484,0,0,36609,578817,0,2458884,252370,2821940,0,0,0,3074310,FALSE
"5778","TX","Pawnee Independent School District",NA,163847,2021,"School District",5558907,2233537,418539,0,0,0,1469914,0,1436917,0,0,10749,3019388,0,4808685,1335054,6503768,0,0,0,7838822,FALSE
"5779","TX","Palmer Independent School District",NA,47521,2021,"School District",26745792,17520324,954926,0,0,498000,3203929,0,3838613,0,0,406194,2012893,0,15422628,1782109,16059606,0,0,0,17841715,FALSE
"5780","TX","Paradise Independent School District",NA,163844,2021,"School District",16587614,8993061,790154,0,0,63754,3014465,0,3726180,0,0,601254,2174690,0,13656321,1822592,14609673,0,0,0,16432265,FALSE
"5781","TX","Munday Consolidated Independent School District",NA,163812,2021,"School District",9813460,7200848,289396,0,0,0,1053602,0,1258765,0,0,81273,1241832,0,5726373,494792,6554686,0,0,0,7049478,FALSE
"5782","TX","Monte Alto Independent School District",NA,171336,2021,"School District",18660984,10450000,1585846,34552,635000,0,2367179,0,2895940,0,692467,6366,1620873,0,13049264,-166816,14843319,0,0,0,14676503,FALSE
"5783","TX","Pearland Independent School District",NA,38837,2021,"School District",606083949,456805036,39589230,0,0,0,55844370,0,53845313,0,0,3927212,40219103,809601,208481030,-250825,253687771,0,0,0,253436946,FALSE
"5784","TX","Palo Pinto Independent School District",NA,163840,2021,"School District",3260121,2352396,264581,0,0,0,301395,0,341749,0,0,6741,288820,0,5766444,75910,5986095,0,0,0,6062005,FALSE
"5785","TX","New Waverly Independent School District",NA,39232,2021,"School District",11499433,3872262,518450,0,0,1416000,2594169,0,3006772,0,91779,104305,2839201,0,12511750,1760989,13694267,0,0,0,15455256,FALSE
"5786","TX","Pearsall Independent School District",NA,38945,2021,"School District",47300318,21010335,2482876,0,0,9864762,6717300,0,7225045,0,0,2304839,11026907,0,24439182,6691354,31079574,0,0,0,37770928,FALSE
"5787","TX","Pasadena Independent School District",NA,38993,2021,"School District",1284380268,769509081,136952210,0,0,0,192750901,0,177412041,0,244821,4862560,120045432,0,530406301,2003308,653310985,0,0,0,655314293,FALSE
