"","id","state","name","ncesID","nces_original_name","students"
"4456","35787","NJ","Borough of Clayton School District","3403180","Clayton Public School District","1505"
"4457","93987","NJ","Borough of Cliffside Park School District","3403270","Cliffside Park School District","3255"
"4458","81939","NJ","Borough of Dumont School District","3403990","Dumont Public School District","2587"
"4459","35712","NJ","Borough of Fair Lawn School District","3404980","Fair Lawn Public School District","5277"
"4460","171300","NJ","Borough of Jamesburg School District","3407770","Jamesburg Public School District","715"
"4461","35830","NJ","Borough of Keyport School District","3407950","Keyport School District","1044"
"4462","35758","NJ","Borough of Lindenwold School District","3408640","Lindenwold Public School District","3078"
"4463","46367","NJ","Borough of Manville School District","3409630","Manville School District","1601"
"4464","41774","NJ","Borough of Middlesex School District","3410050","Middlesex Borough School District","2090"
"4465","35875","NJ","Borough of North Plainfield School District","3411640","North Plainfield School District","3456"
"4466","35741","NJ","Borough of Palmyra School District","3412390","Palmyra Public School District","940"
"4467","93992","NJ","Borough of Pine Hill School District","3412990","Pine Hill School District","1918"
"4468","35794","NJ","Borough of Pitman School District","3413080","Pitman Boro School District","1258"
"4469","168021","NJ","Borough of Pompton Lakes Board of Education","3413350","Pompton Lakes School District","1726"
"4470","46315","NJ","Borough of Prospect Park Board of Education","3413470","Prospect Park Public School District","878"
"4471","168022","NJ","Borough of South Plainfield School Distrcit","3415360","South Plainfield School District","3400"
"4472","35777","NJ","Bridgeton Board of Education","3402250","Bridgeton City School District","6454"
"4473","35872","NJ","Bridgewater-Raritan Regional School District","3402280","Bridgewater-Raritan Regional School District","8542"
"4474","35703","NJ","Buena Regional School District","3402400","Buena Regional School District","1732"
"4475","35746","NJ","Burlington City School District","3402430","Burlington City Public School District","1783"
"4476","282507","NJ","Burlington Township School District","3402460","Burlington Township School District","3745"
"4477","47556","NJ","Caldwell-West Caldwell School District","3402580","CALDWELL-WEST SCHOOL DISTRICT","2710"
"4478","35614","NJ","Camden County Technical Schools","3400776","Camden Prep Inc.","897"
"4479","35769","NJ","Cape May City School District","3402700","Cape May City School District","151"
